,Occupation_Code,Occupation_Title,Total_Employees,Mean_Annual_Wage,Annual_10th_Percentile_Wage,Annual_25th_Percentile_Wage,Annual_Median_Wage,Annual_75th_Percentile_Wage,Annual_90th_Percentile_Wage
205,17-3010,Drafters,"202,710","56,500","33,910","42,240","53,480","66,840","83,300"
206,17-3011,Architectural and Civil Drafters,"96,810","54,290","33,570","41,370","51,640","63,480","78,770"
207,17-3012,Electrical and Electronics Drafters,"26,750","63,390","35,780","46,260","59,970","77,700","96,820"
208,17-3013,Mechanical Drafters,"63,630","57,480","34,490","43,170","54,480","68,630","85,920"
209,17-3019,"Drafters, All Other","15,530","54,410","32,180","39,570","50,470","64,230","82,680"
210,17-3020,"Engineering Technicians, Except Drafters","432,270","59,510","33,920","43,490","57,310","72,670","89,330"
211,17-3021,Aerospace Engineering and Operations Technicians,"11,970","71,070","42,830","53,870","68,020","84,230","102,000"
212,17-3022,Civil Engineering Technicians,"72,150","52,120","31,100","38,170","49,980","62,450","77,500"
213,17-3023,Electrical and Electronics Engineering Technicians,"134,870","62,950","36,850","47,810","62,190","75,480","91,640"
214,17-3024,Electro-Mechanical Technicians,"13,710","57,860","34,820","43,630","55,610","70,080","85,440"
215,17-3025,Environmental Engineering Technicians,"16,550","52,500","29,820","36,900","49,170","62,700","80,780"
216,17-3026,Industrial Engineering Technicians,"63,220","56,920","33,520","41,900","53,330","68,380","86,430"
217,17-3027,Mechanical Engineering Technicians,"45,510","57,180","34,030","42,580","54,480","68,440","82,810"
218,17-3029,"Engineering Technicians, Except Drafters, All Other","74,290","64,050","34,690","46,990","62,330","78,570","95,960"
219,17-3030,Surveying and Mapping Technicians,"53,920","45,490","26,030","32,860","42,450","55,690","70,280"
220,17-3031,Surveying and Mapping Technicians,"53,920","45,490","26,030","32,860","42,450","55,690","70,280"
221,19-0000,"Life, Physical, and Social Science Occupations","1,152,840","72,930","33,350","45,060","63,340","91,060","123,280"
222,19-1000,Life Scientists,"286,390","83,080","41,910","53,000","71,950","100,080","135,170"
223,19-1010,Agricultural and Food Scientists,"31,350","70,470","37,660","47,950","62,920","84,270","116,520"
224,19-1011,Animal Scientists,"2,470","72,890","36,340","45,900","60,330","80,840","126,190"
225,19-1012,Food Scientists and Technologists,"14,200","71,270","37,800","49,060","63,950","87,800","117,480"
226,19-1013,Soil and Plant Scientists,"14,690","69,290","37,820","47,490","62,300","81,920","114,390"
227,19-1020,Biological Scientists,"103,690","80,060","41,570","52,890","71,890","95,990","128,960"
228,19-1021,Biochemists and Biophysicists,"29,200","94,340","45,000","58,630","82,180","117,340","158,410"
229,19-1022,Microbiologists,"21,670","76,850","39,480","48,920","66,850","97,050","128,190"
230,19-1023,Zoologists and Wildlife Biologists,"17,720","64,890","39,150","48,360","60,520","76,320","98,540"
231,19-1029,"Biological Scientists, All Other","35,110","77,830","42,040","55,570","74,790","91,520","116,680"
232,19-1030,Conservation Scientists and Foresters,"28,890","63,720","37,910","47,240","60,610","76,680","92,360"
233,19-1031,Conservation Scientists,"20,470","65,130","37,270","47,010","61,810","78,120","95,970"
234,19-1032,Foresters,"8,420","60,300","39,100","47,440","58,700","71,100","82,400"
235,19-1040,Medical Scientists,"114,560","94,150","44,640","56,990","79,730","115,450","158,070"
236,19-1041,Epidemiologists,"5,690","77,720","46,870","56,780","70,820","89,840","114,510"
237,19-1042,"Medical Scientists, Except Epidemiologists","108,870","95,000","44,550","57,000","80,530","116,840","159,570"
238,19-1090,Miscellaneous Life Scientists,"7,890","83,150","44,190","54,390","73,860","103,090","136,370"
239,19-1099,"Life Scientists, All Other","7,890","83,150","44,190","54,390","73,860","103,090","136,370"
240,19-2000,Physical Scientists,"262,640","87,310","43,520","56,560","77,790","108,440","143,300"
241,19-2010,Astronomers and Physicists,"18,510","120,650","57,310","81,070","114,870","153,180","187,430"
242,19-2011,Astronomers,"1,830","110,380","54,960","71,270","104,740","147,320","165,140"
243,19-2012,Physicists,"16,680","121,770","57,640","82,850","115,870","153,710","189,560"
244,19-2020,Atmospheric and Space Scientists,"9,800","94,840","51,480","69,860","92,460","114,510","140,830"
245,19-2021,Atmospheric and Space Scientists,"9,800","94,840","51,480","69,860","92,460","114,510","140,830"
246,19-2030,Chemists and Materials Scientists,"94,410","82,520","42,540","54,820","75,420","102,920","132,650"
247,19-2031,Chemists,"86,660","80,820","42,180","54,060","73,740","100,630","129,670"
248,19-2032,Materials Scientists,"7,750","101,570","49,890","71,070","99,430","128,620","157,750"
249,19-2040,Environmental Scientists and Geoscientists,"120,970","83,600","42,660","54,610","73,320","100,600","134,290"
250,19-2041,"Environmental Scientists and Specialists, Including Health","84,250","75,360","41,220","52,150","68,910","91,450","120,320"
251,19-2042,"Geoscientists, Except Hydrologists and Geographers","30,420","106,390","47,450","62,830","89,780","127,620","189,020"
252,19-2043,Hydrologists,"6,300","83,740","50,600","63,190","80,480","100,190","120,100"
253,19-2090,Miscellaneous Physical Scientists,"18,960","98,460","47,380","65,210","96,070","123,960","155,000"
254,19-2099,"Physical Scientists, All Other","18,960","98,460","47,380","65,210","96,070","123,960","155,000"
255,19-3000,Social Scientists and Related Workers,"244,820","81,380","41,990","55,840","75,280","99,320","125,400"
256,19-3010,Economists,"19,380","112,860","55,150","73,890","101,050","138,120","181,060"
257,19-3011,Economists,"19,380","112,860","55,150","73,890","101,050","138,120","181,060"
258,19-3020,Survey Researchers,"11,930","59,950","25,680","37,800","54,470","76,440","100,250"
259,19-3022,Survey Researchers,"11,930","59,950","25,680","37,800","54,470","76,440","100,250"
260,19-3030,Psychologists,"122,310","80,640","41,890","55,580","75,230","98,590","121,610"
261,19-3031,"Clinical, Counseling, and School Psychologists","107,980","78,690","41,830","55,050","73,270","95,910","120,320"
262,19-3032,Industrial-Organizational Psychologists,"1,020","104,570","52,950","66,390","82,760","137,510","184,380"
263,19-3039,"Psychologists, All Other","13,310","94,650","41,690","66,810","95,710","109,770","127,710"
264,19-3040,Sociologists,"2,870","86,840","41,950","57,650","79,750","108,130","146,860"
265,19-3041,Sociologists,"2,870","86,840","41,950","57,650","79,750","108,130","146,860"
266,19-3050,Urban and Regional Planners,"34,810","73,060","44,170","55,160","70,020","87,910","105,310"
267,19-3051,Urban and Regional Planners,"34,810","73,060","44,170","55,160","70,020","87,910","105,310"
268,19-3090,Miscellaneous Social Scientists and Related Workers,"53,530","81,570","42,800","58,010","77,020","101,360","127,030"
269,19-3091,Anthropologists and Archeologists,"6,470","66,440","36,910","48,240","63,190","81,430","99,590"
270,19-3092,Geographers,"1,370","74,090","44,680","57,210","74,260","90,120","101,370"
271,19-3093,Historians,"2,950","60,990","28,050","36,630","55,110","80,310","102,830"
272,19-3094,Political Scientists,"6,350","112,250","57,750","86,600","114,290","141,550","160,290"
273,19-3099,"Social Scientists and Related Workers, All Other","36,380","80,860","45,420","59,340","77,020","99,130","119,800"
274,19-4000,"Life, Physical, and Social Science Technicians","358,980","48,550","26,610","33,630","44,250","58,950","76,980"
275,19-4010,Agricultural and Food Science Technicians,"20,420","40,470","23,930","29,700","37,550","47,980","61,450"
276,19-4011,Agricultural and Food Science Technicians,"20,420","40,470","23,930","29,700","37,550","47,980","61,450"
277,19-4020,Biological Technicians,"74,720","46,130","27,660","33,840","42,520","54,990","69,590"
278,19-4021,Biological Technicians,"74,720","46,130","27,660","33,840","42,520","54,990","69,590"
279,19-4030,Chemical Technicians,"65,510","49,770","27,730","34,940","45,840","60,790","76,930"
280,19-4031,Chemical Technicians,"65,510","49,770","27,730","34,940","45,840","60,790","76,930"
281,19-4040,Geological and Petroleum Technicians,"15,100","62,240","25,350","37,720","56,470","78,220","103,080"
282,19-4041,Geological and Petroleum Technicians,"15,100","62,240","25,350","37,720","56,470","78,220","103,080"
283,19-4050,Nuclear Technicians,"6,840","77,820","45,850","61,780","79,140","95,000","106,950"
284,19-4051,Nuclear Technicians,"6,840","77,820","45,850","61,780","79,140","95,000","106,950"
285,19-4060,Social Science Research Assistants,"30,030","46,820","22,090","32,450","43,190","57,180","74,900"
286,19-4061,Social Science Research Assistants,"30,030","46,820","22,090","32,450","43,190","57,180","74,900"
287,19-4090,"Miscellaneous Life, Physical, and Social Science Technicians","146,370","47,940","26,620","33,110","44,190","58,300","75,560"
288,19-4091,"Environmental Science and Protection Technicians, Including Health","32,950","47,930","27,380","34,270","44,190","58,280","75,980"
289,19-4092,Forensic Science Technicians,"14,800","60,690","33,860","42,710","56,750","74,220","97,400"
290,19-4093,Forest and Conservation Technicians,"30,090","38,630","25,740","28,880","35,560","46,710","55,510"
291,19-4099,"Life, Physical, and Social Science Technicians, All Other","68,540","49,270","26,310","34,890","46,040","60,260","77,010"
292,21-0000,Community and Social Service Occupations,"2,019,250","47,200","25,170","32,420","42,990","58,280","76,220"
293,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists","1,941,090","47,220","25,340","32,520","43,020","58,290","76,150"
294,21-1010,Counselors,"659,890","49,740","26,530","34,390","45,970","61,040","78,870"
295,21-1011,Substance Abuse and Behavioral Disorder Counselors,"91,040","44,160","26,210","32,470","41,070","52,690","65,080"
296,21-1012,"Educational, Guidance, School, and Vocational Counselors","260,670","57,620","32,400","41,650","54,560","70,930","90,030"
297,21-1013,Marriage and Family Therapists,"36,960","54,090","31,600","38,320","49,170","63,810","81,960"
298,21-1014,Mental Health Counselors,"139,820","46,050","26,950","33,560","42,840","55,440","70,100"
299,21-1015,Rehabilitation Counselors,"103,030","38,740","21,710","26,860","34,670","46,600","62,010"
300,21-1019,"Counselors, All Other","28,380","47,640","25,070","32,850","44,350","59,900","74,810"
301,21-1020,Social Workers,"631,730","50,710","28,800","35,870","46,890","61,600","78,510"
302,21-1021,"Child, Family, and School Social Workers","298,840","47,510","27,800","34,230","43,250","56,740","75,140"
303,21-1022,Healthcare Social Workers,"159,310","55,510","32,750","41,620","53,760","65,860","80,020"
304,21-1023,Mental Health and Substance Abuse Social Workers,"114,040","47,880","26,730","33,240","42,700","56,610","74,650"
305,21-1029,"Social Workers, All Other","59,540","59,410","33,600","43,110","60,230","75,020","85,190"
306,21-1090,Miscellaneous Community and Social Service Specialists,"649,470","41,270","22,150","28,210","36,970","49,570","66,610"
307,21-1091,Health Educators,"57,570","57,900","30,400","38,640","53,070","73,040","95,730"
308,21-1092,Probation Officers and Correctional Treatment Specialists,"87,500","55,380","33,630","39,530","50,160","67,420","88,930"
309,21-1093,Social and Human Service Assistants,"360,650","34,120","20,800","25,350","31,810","40,030","50,640"
310,21-1094,Community Health Workers,"51,900","41,170","23,620","29,480","37,330","49,340","63,880"
311,21-1099,"Community and Social Service Specialists, All Other","91,860","45,540","25,140","33,200","43,120","55,860","71,040"
312,21-2000,Religious Workers,"78,160","46,630","20,290","29,230","42,220","58,250","78,020"
313,21-2010,Clergy,"49,320","49,450","23,830","32,790","45,740","60,640","79,110"
314,21-2011,Clergy,"49,320","49,450","23,830","32,790","45,740","60,640","79,110"
315,21-2020,"Directors, Religious Activities and Education","20,590","44,840","19,710","26,930","38,610","55,170","79,380"
316,21-2021,"Directors, Religious Activities and Education","20,590","44,840","19,710","26,930","38,610","55,170","79,380"
317,21-2090,Miscellaneous Religious Workers,"8,250","34,300","18,470","20,080","28,820","41,800","58,970"
318,21-2099,"Religious Workers, All Other","8,250","34,300","18,470","20,080","28,820","41,800","58,970"
319,23-0000,Legal Occupations,"1,075,520","105,980","36,650","51,530","79,650","138,240",#
320,23-1000,"Lawyers, Judges, and Related Workers","680,990","135,760","54,100","74,990","115,050","170,170",#
321,23-1010,Lawyers and Judicial Law Clerks,"632,940","138,190","55,460","76,040","116,250","174,250",#
322,23-1011,Lawyers,"619,530","139,880","56,910","77,580","118,160","176,580",#
323,23-1012,Judicial Law Clerks,"13,410","59,840","32,550","41,650","51,760","69,660","106,640"
324,23-1020,"Judges, Magistrates, and Other Judicial Workers","48,050","103,740","36,530","57,830","100,960","143,490","170,410"
325,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers","14,540","95,240","41,730","62,950","92,110","122,700","162,400"
326,23-1022,"Arbitrators, Mediators, and Conciliators","6,300","72,730","32,550","42,480","59,770","88,510","123,930"
327,23-1023,"Judges, Magistrate Judges, and Magistrates","27,210","115,460","35,250","64,070","125,880","157,270","183,570"
328,23-2000,Legal Support Workers,"394,530","54,590","30,350","37,820","49,560","64,380","85,360"
329,23-2010,Paralegals and Legal Assistants,"277,310","53,180","31,070","38,230","49,500","63,650","80,260"
330,23-2011,Paralegals and Legal Assistants,"277,310","53,180","31,070","38,230","49,500","63,650","80,260"
331,23-2090,Miscellaneous Legal Support Workers,"117,220","57,940","28,680","36,870","49,780","68,420","101,500"
332,23-2091,Court Reporters,"17,700","56,940","26,610","36,870","51,320","72,400","95,990"
333,23-2093,"Title Examiners, Abstractors, and Searchers","54,560","51,490","27,620","34,800","45,800","60,520","81,800"
334,23-2099,"Legal Support Workers, All Other","44,960","66,170","31,970","40,410","54,650","84,030","127,650"
335,25-0000,"Education, Training, and Library Occupations","8,636,430","54,520","21,820","31,830","48,000","67,430","92,890"
336,25-1000,Postsecondary Teachers,"1,530,010","81,880","31,200","45,450","66,500","99,650","152,330"
337,25-1010,"Business Teachers, Postsecondary","83,030","96,770","35,320","50,680","77,490","121,750","185,410"
338,25-1011,"Business Teachers, Postsecondary","83,030","96,770","35,320","50,680","77,490","121,750","185,410"
339,25-1020,"Math and Computer Teachers, Postsecondary","84,560","85,350","38,480","52,030","72,510","102,900","151,380"
340,25-1021,"Computer Science Teachers, Postsecondary","32,540","89,670","39,170","54,670","77,570","110,640","155,580"
341,25-1022,"Mathematical Science Teachers, Postsecondary","52,020","82,650","38,110","50,620","69,520","98,990","147,700"
342,25-1030,"Engineering and Architecture Teachers, Postsecondary","45,370","105,120","46,940","67,900","94,720","129,480","174,230"
343,25-1031,"Architecture Teachers, Postsecondary","7,370","92,890","42,120","55,730","79,250","110,140","160,220"
344,25-1032,"Engineering Teachers, Postsecondary","38,000","107,490","49,090","70,660","97,530","132,240","176,560"
345,25-1040,"Life Sciences Teachers, Postsecondary","62,920","91,440","42,620","57,320","79,180","112,040","156,300"
346,25-1041,"Agricultural Sciences Teachers, Postsecondary","10,340","96,630","47,130","66,820","91,580","119,760","153,250"
347,25-1042,"Biological Science Teachers, Postsecondary","50,820","90,420","41,850","55,990","76,650","109,240","157,630"
348,25-1043,"Forestry and Conservation Science Teachers, Postsecondary","1,750","90,480","47,390","61,700","85,880","114,070","144,820"
349,25-1050,"Physical Sciences Teachers, Postsecondary","51,780","92,900","43,690","58,490","80,510","114,110","158,330"
350,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","10,850","95,900","43,950","61,300","85,410","119,650","161,220"
351,25-1052,"Chemistry Teachers, Postsecondary","21,250","89,320","42,400","56,350","76,750","107,040","153,570"
352,25-1053,"Environmental Science Teachers, Postsecondary","5,520","88,880","44,180","57,920","78,340","108,860","150,890"
353,25-1054,"Physics Teachers, Postsecondary","14,160","97,520","45,530","60,740","84,570","119,840","164,130"
354,25-1060,"Social Sciences Teachers, Postsecondary","114,230","89,150","39,590","54,660","76,130","107,840","157,780"
355,25-1061,"Anthropology and Archeology Teachers, Postsecondary","5,700","91,940","45,060","59,390","81,350","114,580","155,500"
356,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","9,060","84,590","38,950","53,060","73,020","102,580","148,640"
357,25-1063,"Economics Teachers, Postsecondary","13,060","111,520","47,560","67,190","95,770","134,280","195,730"
358,25-1064,"Geography Teachers, Postsecondary","4,140","84,660","42,120","56,740","76,810","101,680","134,010"
359,25-1065,"Political Science Teachers, Postsecondary","16,720","94,090","42,220","57,650","79,210","113,070","164,830"
360,25-1066,"Psychology Teachers, Postsecondary","37,640","84,440","36,400","52,320","73,140","102,040","148,470"
361,25-1067,"Sociology Teachers, Postsecondary","14,580","81,600","38,430","53,710","71,840","97,430","133,740"
362,25-1069,"Social Sciences Teachers, Postsecondary, All Other","13,320","85,950","37,110","49,870","70,740","106,640","166,830"
363,25-1070,"Health Teachers, Postsecondary","242,940","113,770","42,660","59,910","87,900","145,370",#
364,25-1071,"Health Specialties Teachers, Postsecondary","186,740","125,430","43,450","63,550","99,360","165,100",#
365,25-1072,"Nursing Instructors and Teachers, Postsecondary","56,210","75,030","41,010","54,150","69,130","90,030","117,540"
366,25-1080,"Education and Library Science Teachers, Postsecondary","63,720","70,420","32,690","45,510","63,040","84,080","117,090"
367,25-1081,"Education Teachers, Postsecondary","58,850","70,260","32,280","44,780","62,520","83,820","118,160"
368,25-1082,"Library Science Teachers, Postsecondary","4,870","72,340","42,470","54,410","68,410","87,040","106,960"
369,25-1110,"Law, Criminal Justice, and Social Work Teachers, Postsecondary","42,490","94,490","36,400","51,630","71,490","113,600","186,940"
370,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary","14,620","67,040","34,650","45,610","59,590","79,320","105,210"
371,25-1112,"Law Teachers, Postsecondary","16,010","134,530","44,880","66,840","111,210","180,320",#
372,25-1113,"Social Work Teachers, Postsecondary","11,860","74,280","34,590","47,740","64,030","89,500","130,520"
373,25-1120,"Arts, Communications, and Humanities Teachers, Postsecondary","272,170","77,980","35,420","48,610","66,630","93,760","131,730"
374,25-1121,"Art, Drama, and Music Teachers, Postsecondary","99,020","81,050","34,930","49,610","68,650","96,910","140,070"
375,25-1122,"Communications Teachers, Postsecondary","28,180","74,360","34,420","47,730","65,640","90,560","125,630"
376,25-1123,"English Language and Literature Teachers, Postsecondary","71,270","76,140","35,790","47,000","63,730","90,930","130,890"
377,25-1124,"Foreign Language and Literature Teachers, Postsecondary","28,720","73,750","35,210","47,240","63,500","87,210","125,580"
378,25-1125,"History Teachers, Postsecondary","21,800","80,880","38,000","52,760","71,820","97,150","130,530"
379,25-1126,"Philosophy and Religion Teachers, Postsecondary","23,180","77,420","36,010","50,250","68,360","93,770","127,740"
380,25-1190,Miscellaneous Postsecondary Teachers,"466,790","58,150","20,540","33,740","49,060","72,550","103,970"
381,25-1191,Graduate Teaching Assistants,"135,130","35,810","18,340","24,310","34,240","44,740","55,080"
382,25-1192,"Home Economics Teachers, Postsecondary","2,970","72,790","35,770","50,660","69,190","90,540","115,910"
383,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary","17,390","67,870","28,290","40,490","59,180","81,910","119,830"
384,25-1194,"Vocational Education Teachers, Postsecondary","116,430","55,730","28,640","38,020","50,660","66,870","90,320"
385,25-1199,"Postsecondary Teachers, All Other","194,870","73,990","24,990","44,490","64,400","94,720","130,090"
386,25-2000,"Preschool, Primary, Secondary, and Special Education School Teachers","4,133,490","57,470","32,820","42,550","54,720","70,390","88,430"
387,25-2010,Preschool and Kindergarten Teachers,"536,840","39,550","20,290","24,720","34,010","49,880","66,750"
388,25-2011,"Preschool Teachers, Except Special Education","385,550","33,300","19,430","22,750","28,790","38,350","54,310"
389,25-2012,"Kindergarten Teachers, Except Special Education","151,290","55,460","34,050","42,190","52,620","65,460","81,210"
390,25-2020,Elementary and Middle School Teachers,"2,031,700","59,270","36,930","44,740","56,100","71,390","88,750"
391,25-2021,"Elementary School Teachers, Except Special Education","1,392,660","59,020","36,560","44,450","55,800","71,170","88,590"
392,25-2022,"Middle School Teachers, Except Special and Career/Technical Education","626,310","59,800","37,810","45,370","56,720","71,850","89,120"
393,25-2023,"Career/Technical Education Teachers, Middle School","12,730","60,350","38,670","46,180","57,560","71,990","87,980"
394,25-2030,Secondary School Teachers,"1,083,350","61,280","38,190","46,110","57,980","73,960","92,470"
395,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education","1,003,250","61,420","38,180","46,110","58,030","74,160","92,920"
396,25-2032,"Career/Technical Education Teachers, Secondary School","80,100","59,480","38,330","46,040","57,320","71,670","86,570"
397,25-2050,Special Education Teachers,"481,600","61,280","37,540","45,710","57,630","73,700","93,130"
398,25-2051,"Special Education Teachers, Preschool","28,140","56,990","32,980","41,960","52,460","68,420","89,290"
399,25-2052,"Special Education Teachers, Kindergarten and Elementary School","190,530","60,090","37,150","45,350","57,040","72,400","90,260"
400,25-2053,"Special Education Teachers, Middle School","90,250","61,910","39,190","47,040","58,560","74,220","93,260"
401,25-2054,"Special Education Teachers, Secondary School","132,490","64,020","39,130","47,400","59,700","76,520","96,930"
402,25-2059,"Special Education Teachers, All Other","40,190","59,450","35,160","43,310","53,860","71,190","93,620"
403,25-3000,Other Teachers and Instructors,"1,191,570","38,560","19,070","23,360","31,910","46,320","65,230"
404,25-3010,Adult Basic and Secondary Education and Literacy Teachers and Instructors,"58,810","55,140","29,420","39,610","50,650","66,800","84,740"
405,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,"58,810","55,140","29,420","39,610","50,650","66,800","84,740"
406,25-3020,Self-Enrichment Education Teachers,"229,840","43,150","19,440","25,530","37,330","54,650","74,700"
407,25-3021,Self-Enrichment Education Teachers,"229,840","43,150","19,440","25,530","37,330","54,650","74,700"
408,25-3090,Miscellaneous Teachers and Instructors,"902,910","36,310","18,850","22,690","30,110","42,120","60,320"
409,25-3097,"Teachers and Instructors, All Other, Except Substitute Teachers","292,950","47,570","19,900","26,140","39,570","60,830","82,960"
410,25-3098,Substitute Teachers,"609,960","30,900","18,460","21,850","28,010","36,550","46,140"
411,25-4000,"Librarians, Curators, and Archivists","250,660","49,700","23,410","32,590","46,610","62,400","79,860"
412,25-4010,"Archivists, Curators, and Museum Technicians","27,900","52,460","26,150","34,860","47,230","64,080","85,220"
413,25-4011,Archivists,"5,760","54,570","30,180","38,150","50,500","66,590","88,160"
414,25-4012,Curators,"11,170","58,910","29,700","39,190","53,360","72,360","94,430"
415,25-4013,Museum Technicians and Conservators,"10,970","44,780","23,130","29,930","40,040","54,820","73,080"
416,25-4020,Librarians,"129,350","59,870","34,100","45,060","57,680","72,780","90,140"
417,25-4021,Librarians,"129,350","59,870","34,100","45,060","57,680","72,780","90,140"
418,25-4030,Library Technicians,"93,410","34,780","19,680","24,790","32,890","42,970","52,880"
419,25-4031,Library Technicians,"93,410","34,780","19,680","24,790","32,890","42,970","52,880"
420,25-9000,"Other Education, Training, and Library Occupations","1,530,700","32,420","18,460","21,230","27,500","36,980","53,500"
421,25-9010,Audio-Visual and Multimedia Collections Specialists,"10,300","50,130","26,760","35,280","47,840","62,950","78,090"
422,25-9011,Audio-Visual and Multimedia Collections Specialists,"10,300","50,130","26,760","35,280","47,840","62,950","78,090"
423,25-9020,Farm and Home Management Advisors,"8,620","52,150","24,760","36,710","49,490","64,620","80,900"
424,25-9021,Farm and Home Management Advisors,"8,620","52,150","24,760","36,710","49,490","64,620","80,900"
425,25-9030,Instructional Coordinators,"147,330","65,500","35,230","47,620","62,460","80,440","100,320"
426,25-9031,Instructional Coordinators,"147,330","65,500","35,230","47,620","62,460","80,440","100,320"
427,25-9040,Teacher Assistants,"1,263,820","27,120","18,120","20,520","25,410","31,990","38,820"
428,25-9041,Teacher Assistants,"1,263,820","27,120","18,120","20,520","25,410","31,990","38,820"
429,25-9090,"Miscellaneous Education, Training, and Library Workers","100,640","46,970","22,180","29,890","42,600","58,800","78,270"
430,25-9099,"Education, Training, and Library Workers, All Other","100,640","46,970","22,180","29,890","42,600","58,800","78,270"
431,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","1,902,970","58,390","21,210","30,560","47,190","71,410","103,360"
432,27-1000,Art and Design Workers,"582,550","52,660","22,050","29,690","44,410","65,700","94,010"
433,27-1010,Artists and Related Workers,"89,620","79,530","33,280","48,500","70,080","99,680","134,490"
434,27-1011,Art Directors,"36,210","101,170","48,660","64,570","89,820","124,260","166,400"
435,27-1012,Craft Artists,"5,070","38,900","19,520","24,370","33,440","47,750","65,080"
436,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators","11,520","57,410","19,620","32,230","50,790","72,260","103,680"
437,27-1014,Multimedia Artists and Animators,"29,810","72,200","38,520","49,320","65,300","90,450","115,960"
438,27-1019,"Artists and Related Workers, All Other","7,010","64,630","30,360","39,860","61,360","87,700","103,860"
439,27-1020,Designers,"492,930","47,780","21,550","28,190","40,800","60,200","81,870"
440,27-1021,Commercial and Industrial Designers,"31,860","70,880","37,400","50,350","67,790","87,750","105,690"
441,27-1022,Fashion Designers,"19,230","76,480","33,740","46,020","65,170","92,550","130,050"
442,27-1023,Floral Designers,"43,990","27,610","18,760","21,190","25,850","31,970","39,130"
443,27-1024,Graphic Designers,"210,710","52,290","27,950","35,560","47,640","63,340","82,020"
444,27-1025,Interior Designers,"53,160","56,220","26,260","36,760","49,810","68,340","91,230"
445,27-1026,Merchandise Displayers and Window Trimmers,"114,690","30,090","18,950","21,730","26,700","35,120","47,150"
446,27-1027,Set and Exhibit Designers,"12,060","57,600","26,310","36,690","50,990","73,330","97,320"
447,27-1029,"Designers, All Other","7,230","63,270","21,860","33,850","53,380","80,910","116,250"
448,27-2000,"Entertainers and Performers, Sports and Related Workers","509,840","60,910","18,940","24,590","40,870","69,070","123,010"
449,27-2010,"Actors, Producers, and Directors","163,130","90,570","24,270","37,840","62,850","109,310","206,220"
450,27-2011,Actors,"48,620",*,*,*,*,*,*
451,27-2012,Producers and Directors,"114,510","93,840","32,940","46,660","70,950","112,820","189,870"
452,27-2020,"Athletes, Coaches, Umpires, and Related Workers","259,850","42,290","18,160","20,860","31,440","49,340","73,720"
453,27-2021,Athletes and Sports Competitors,"10,260","83,730","19,540","26,390","47,710","95,290",#
454,27-2022,Coaches and Scouts,"230,930","41,000","18,120","20,860","31,460","49,110","71,940"
455,27-2023,"Umpires, Referees, and Other Sports Officials","18,660","35,540","18,150","20,040","25,660","39,820","58,160"
456,27-2030,Dancers and Choreographers,"15,220","43,320","18,510","20,830","35,060","55,800","81,330"
457,27-2031,Dancers,"10,060",*,*,*,*,*,*
458,27-2032,Choreographers,"5,160","53,610","21,520","31,790","48,240","69,430","94,400"
459,27-2040,"Musicians, Singers, and Related Workers","58,490",*,*,*,*,*,*
460,27-2041,Music Directors and Composers,"18,380","60,630","20,820","35,020","50,110","70,510","106,700"
461,27-2042,Musicians and Singers,"40,110",*,*,*,*,*,*
462,27-2090,"Miscellaneous Entertainers and Performers, Sports and Related Workers","13,150",*,*,*,*,*,*
463,27-2099,"Entertainers and Performers, Sports and Related Workers, All Other","13,150",*,*,*,*,*,*
464,27-3000,Media and Communication Workers,"575,630","63,130","26,800","37,860","54,780","77,310","105,850"
465,27-3010,Announcers,"37,230","47,000","18,250","21,230","30,830","50,790","87,620"
466,27-3011,Radio and Television Announcers,"29,210","48,170","18,390","21,700","31,400","51,000","89,720"
467,27-3012,Public Address System and Other Announcers,"8,020","42,740","17,860","19,950","28,940","49,990","77,640"
468,27-3020,"News Analysts, Reporters and Correspondents","45,160","52,960","22,390","28,340","38,870","63,250","94,590"
469,27-3021,Broadcast News Analysts,"5,070","78,200","25,690","34,190","56,680","93,320","163,490"
470,27-3022,Reporters and Correspondents,"40,090","49,770","22,120","27,940","37,820","60,060","86,610"
471,27-3030,Public Relations Specialists,"226,940","66,540","32,090","42,450","58,020","79,650","110,560"
472,27-3031,Public Relations Specialists,"226,940","66,540","32,090","42,450","58,020","79,650","110,560"
473,27-3040,Writers and Editors,"191,640","69,280","32,010","44,210","61,550","83,270","112,960"
474,27-3041,Editors,"97,170","66,080","29,760","40,480","57,210","79,490","111,610"
475,27-3042,Technical Writers,"49,780","73,160","41,700","53,990","69,850","89,730","111,260"
476,27-3043,Writers and Authors,"44,690","71,920","29,380","43,130","61,240","83,500","118,640"
477,27-3090,Miscellaneous Media and Communication Workers,"74,660","51,130","24,890","32,500","45,460","62,320","86,500"
478,27-3091,Interpreters and Translators,"51,350","51,260","25,370","34,230","46,120","61,950","83,010"
